================================================================================
Count of Words: Data Structure Edition - Output Report
================================================================================
Arquivo Analisado: input/a_riqueza_das_nacoes_english.txt
Estrutura de Dados: Árvore AVL
Data de execução: sábado, 12 de julho de 2025 - 12:44:15
Quantidade de palavras: 385720

================================================================================
Tabela de Frequências
================================================================================
Palavra           | Frequência
0                 | 440  
0d                | 1    
1                 | 239  
1,000,000         | 2    
1,001,171         | 1    
1,101,107         | 1    
1,200,000         | 1    
1,214,583         | 1    
1,243,120         | 1    
1,245,808         | 1    
1,246,373         | 1    
1,296,552         | 1    
1,400,000         | 1    
1,455,949         | 1    
1,500,000         | 1    
1,514,962         | 1    
1,600,000         | 2    
1,636,958         | 1    
1,775,027         | 1    
10                | 78   
10,000            | 6    
10,415,476        | 1    
10,780,000        | 1    
100               | 9    
100,000           | 10   
1000              | 6    
105               | 3    
108               | 1    
10d               | 5    
10s               | 11   
10th              | 4    
11                | 24   
11,055            | 1    
11,686,800        | 1    
110,000           | 4    
1100              | 1    
113               | 1    
114               | 1    
115               | 1    
116               | 1    
11d               | 1    
11s               | 2    
11th              | 3    
12                | 36   
12,510            | 1    
1200              | 1    
1202              | 2    
1205              | 1    
122,603,336       | 1    
1223              | 1    
123,399           | 1    
1237              | 1    
124,996,086       | 1    
1243              | 1    
1244              | 1    
1246              | 1    
1247              | 1    
1257              | 1    
1258              | 1    
126,115           | 1    
1262              | 1    
1270              | 2    
128,000           | 1    
128,000,000       | 1    
1286              | 1    
1287              | 1    
1288              | 1    
1289              | 1    
129               | 1    
129,146,322       | 1    
129,586,789       | 1    
1290              | 1    
1294              | 1    
12d               | 3    
12s               | 2    
12th              | 6    
12ths             | 1    
13                | 27   
13,000            | 2    
13,445            | 1    
13,927,589        | 1    
13,984,185        | 1    
130               | 1    
1302              | 1    
1309              | 2    
1310              | 1    
1315              | 1    
1316              | 1    
1317              | 1    
1336              | 1    
1338              | 1    
1339              | 2    
1349              | 1    
135               | 1    
1350              | 2    
1359              | 1    
136,453           | 1    
1361              | 1    
1363              | 1    
1369              | 1    
1379              | 1    
1387              | 1    
139               | 1    
139,561,807       | 1    
1390              | 1    
13th              | 7    
14                | 31   
14,000            | 1    
140,000           | 1    
1401              | 1    
1407              | 1    
1416              | 1    
1423              | 2    
1425              | 3    
1434              | 1    
1435              | 1    
1436              | 1    
1439              | 1    
1440              | 1    
1444              | 1    
1445              | 1    
1447              | 1    
1448              | 1    
1449              | 2    
145,000,000       | 1    
1451              | 1    
1453              | 1    
1455              | 1    
1457              | 1    
1459              | 1    
1460              | 1    
