================================================================================
Count of Words: Data Structure Edition - Output Report
================================================================================
Arquivo Analisado: input/the-secret-garden.txt
Estrutura de Dados: Árvore Rubro-Negra
Data de execução: sábado, 12 de julho de 2025 - 12:48:21
Quantidade de palavras: 84516

================================================================================
Tabela de Frequências
================================================================================
Palavra           | Frequência
1                 | 47  
113               | 1   
1500              | 1   
1887              | 1   
1994              | 1   
2                 | 3   
20                | 1   
2001              | 1   
2024              | 1   
29                | 1   
3                 | 10  
30                | 1   
4                 | 5   
5                 | 3   
5,000             | 1   
50                | 1   
501               | 1   
596               | 1   
6                 | 2   
60                | 1   
6221541           | 1   
64                | 1   
7                 | 3   
8                 | 4   
801               | 1   
809               | 1   
84116             | 1   
9                 | 3   
90                | 2   
a                 | 1796
à                 | 1   
aback             | 1   
abed              | 1   
abide             | 3   
abiding           | 1   
able              | 4   
abnormal          | 1   
about             | 374 
above             | 7   
absence           | 2   
absent            | 1   
absorbed          | 4   
absorbing         | 1   
abundant          | 1   
accent            | 1   
accept            | 1   
accepted          | 2   
accepting         | 2   
access            | 10  
accessed          | 1   
accessible        | 1   
accident          | 1   
accidentally      | 2   
accord            | 1   
accordance        | 2   
accordingly       | 1   
accused           | 1   
accustomed        | 4   
ache              | 1   
ached             | 3   
aches             | 3   
acquaintance      | 1   
across            | 32  
act               | 2   
actin             | 5   
acting            | 1   
actions           | 1   
active            | 2   
activity          | 1   
actual            | 3   
actually          | 37  
added             | 10  
addition          | 2   
additional        | 3   
additions         | 1   
address           | 1   
addresses         | 1   
administration    | 1   
admiration        | 1   
admire            | 1   
admiringly        | 3   
admitted          | 3   
adorably          | 1   
adoration         | 1   
adored            | 1   
advance           | 1   
adventures        | 1   
advice            | 2   
advised           | 1   
affair            | 1   
affairs           | 1   
affectation       | 1   
affected          | 1   
affection         | 1   
affectionate      | 3   
afford            | 1   
afore             | 3   
afraid            | 32  
after             | 92  
afternoon         | 27  
afternoons        | 1   
afterward         | 14  
again             | 119 
against           | 31  
agate             | 2   
age               | 1   
aged              | 1   
agen              | 2   
agent             | 1   
ages              | 1   
agitated          | 1   
ago               | 20  
agree             | 10  
agreeable         | 5   
agreed            | 3   
agreement         | 18  
agrees            | 3   
ahead             | 1   
ails              | 3   
air               | 56  
ajar              | 1   
alarm             | 2   
alarmed           | 3   
alcoves           | 6   
alert             | 1   
alighted          | 3   
alike             | 2   
alive             | 40  
all               | 337 
allow             | 5   
allowed           | 5   
allus             | 4   
almost            | 83  
alone             | 16  
along             | 14  
aloud             | 6   
already           | 12  
also              | 29  
alter             | 2   
alteration        | 1   
alternate         | 1   
alternately       | 1   
always            | 107 
am                | 118 
amazed            | 2   
amazement         | 3   
amazing           | 6   
amazingly         | 1   
amen              | 2   
amid              | 1   
among             | 18  
amuse             | 7   
amused            | 5   
amusement         | 1   
amuses            | 1   
amusing           | 2   
an                | 591 
ancestors         | 1   
ancient           | 1   
and               | 3326
angel             | 5   
anger             | 2   
angrily           | 1   
angry             | 19  
animal            | 12  
animal’s          | 1   
animals           | 8   
ann               | 2   
ann’s             | 1   
announced         | 5   
announcement      | 1   
announcing        | 1   
annoyance         | 1   
another           | 38  
answer            | 19  
answered          | 136 
ants              | 1   
anxiety           | 3   
anxious           | 4   
anxiously         | 7   
any               | 102 
anybody           | 1   
anybody’s         | 1   
anyone            | 44  
anyone’s          | 3   
anythin           | 9   
anything          | 59  
anything’ll       | 1   
anywhere          | 10  
apart             | 1   
apartment         | 1   
apartments        | 1   
appalling         | 1   
apparent          | 1   
apparently        | 1   
appealingly       | 1   
appear            | 2   
appeared          | 5   
appearing         | 3   
appears           | 1   
appetite          | 8   
appetites         | 4   
apple             | 6   
applicable        | 3   
apply             | 1   
appreciative      | 1   
approach          | 2   
approaching       | 1   
approval          | 1   
approved          | 1   
apron             | 3   
aquilegia         | 1   
arch              | 3   
arched            | 3   
arches            | 1   
archibald         | 10  
archie            | 5   
archive           | 13  
are               | 206 
aren’t            | 3   
argued            | 2   
arise             | 1   
arm               | 16  
armchair          | 3   
armies            | 1   
armor             | 1   
arms              | 13  
around            | 7   
arranged          | 2   
array             | 1   
arrived           | 7   
arrow             | 1   
art               | 15  
as                | 802 
as’ll             | 2   
ascii             | 2   
ashamed           | 1   
ashy              | 1   
aside             | 6   
ask               | 33  
asked             | 102 
askin             | 3   
asking            | 6   
asleep            | 19  
assist            | 1   
assistance        | 1   
associated        | 7   
assuming          | 1   
astonished        | 2   
astonishing       | 1   
astonishment      | 1   
astounding        | 1   
at                | 581 
ate               | 10  
athlete           | 4   
atmosphere        | 1   
atom              | 1   
atrophied         | 2   
attached          | 1   
attempt           | 1   
attempted         | 1   
attend            | 1   
attended          | 2   
attends           | 1   
attention         | 6   
attentively       | 1   
attract           | 1   
attracted         | 6   
attracting        | 1   
attraction        | 1   
aught             | 1   
aunts             | 1   
austerely         | 1   
austrian          | 1   
author            | 2   
authority         | 1   
autumn            | 5   
available         | 2   
avenue            | 2   
awake             | 15  
awaken            | 1   
awakened          | 8   
awakening         | 4   
aware             | 4   
away              | 119 
awful             | 3   
awfully           | 2   
awkward           | 3   
awkwardly         | 1   
awoke             | 3   
ax                | 3   
axed              | 1   
ayah              | 23  
ayah’s            | 1   
aye               | 39  
b                 | 3   
babies            | 3   
baby              | 8   
bachelder         | 2   
back              | 158 
back’ard          | 1   
backbone          | 2   
backed            | 1   
backs             | 1   
backward          | 5   
bacon             | 3   
bad               | 16  
badgers           | 4   
badness           | 1   
baffling          | 1   
bak               | 1   
bake              | 1   
bakin             | 1   
baking            | 2   
bald              | 1   
bands             | 1   
bandy             | 1   
bang              | 1   
bank              | 1   
bare              | 14  
bared             | 2   
barely            | 1   
bark              | 1   
barney            | 2   
bars              | 1   
based             | 2   
basil             | 9   
basket            | 4   
batteries         | 1   
battle            | 1   
be                | 392 
beak              | 9   
beaks             | 2   
beamed            | 1   
bean              | 1   
bear              | 12  
bearable          | 1   
beast             | 1   
beat              | 7   
beaten            | 2   
beating           | 6   
beautiful         | 25  
beautifully       | 1   
beauty            | 5   
became            | 16  
because           | 159 
beckoned          | 1   
become            | 8   
becoming          | 4   
bed               | 46  
bedding           | 1   
bedroom           | 3   
beds              | 13  
bedside           | 3   
beef              | 3   
been              | 279 
beer              | 4   
bees              | 8   
beetle            | 1   
beetles           | 1   
before            | 109 
beg               | 1   
began             | 102 
beggar            | 1   
begged            | 2   
begin             | 23  
beginnin          | 1   
beginning         | 24  
begins            | 1   
begun             | 26  
beheld            | 2   
behind            | 15  
behold            | 1   
bein              | 10  
being             | 42  
beings            | 1   
belief            | 4   
believe           | 38  
believed          | 9   
believer          | 1   
believes          | 4   
believin          | 1   
bell              | 5   
bells             | 7   
belong            | 6   
belonged          | 2   
belongs           | 1   
below             | 10  
belt              | 1   
ben               | 134 
ben’s             | 2   
bend              | 2   
beneath           | 2   
bent              | 9   
berries           | 1   
beside            | 5   
besides           | 10  
besom             | 1   
bess              | 1   
best              | 22  
better            | 48  
betty             | 1   
between           | 10  
bewildered        | 1   
bewilderment      | 1   
bewitched         | 3   
beyond            | 2   
big               | 73  
bigger            | 7   
biggest           | 4   
binary            | 1   
bird              | 17  
bird’s            | 2   
birds             | 33  
biscuits          | 1   
bit               | 84  
bite              | 6   
bits              | 6   
bitten            | 1   
bitter            | 1   
black             | 45  
black’s           | 1   
blackberries      | 1   
blacking          | 1   
blackness         | 1   
blacks            | 5   
blade             | 1   
blades            | 3   
blamed            | 1   
blazing           | 1   
bleak             | 1   
bleat             | 1   
bleatin           | 1   
bless             | 6   
blessing          | 1   
blessings         | 2   
blew              | 3   
blinds            | 2   
bloat             | 1   
bloated           | 1   
blood             | 9   
bloom             | 8   
bloomed           | 2   
bloomin           | 1   
blooming          | 1   
blossom           | 1   
blossoming        | 1   
blossoms          | 9   
blow              | 1   
blowing           | 3   
blown             | 4   
blue              | 47  
blueness          | 4   
blunt             | 1   
blush             | 1   
boarding          | 1   
boasted           | 1   
boat              | 1   
bob               | 5   
bobbing           | 3   
bodies            | 1   
body              | 17  
bold              | 8   
boldly            | 1   
bolt              | 1   
bolted            | 1   
bone              | 1   
bones             | 3   
bonnet            | 4   
book              | 6   
books             | 25  
boot              | 2   
boots             | 3   
border            | 1   
bordered          | 1   
borders           | 3   
bored             | 1   
born              | 23  
bosom             | 2   
both              | 42  
bottle            | 4   
bottom            | 1   
bottomless        | 1   
boudoir           | 1   
bough             | 1   
boughs            | 1   
bought            | 6   
bound             | 6   
bounteous         | 1   
bounties          | 1   
bowered           | 1   
bowl              | 1   
box               | 3   
boxin             | 1   
boy               | 104 
boy’s             | 4   
boyhood           | 1   
boyish            | 2   
boys              | 7   
brace             | 1   
brain             | 2   
branch            | 15  
branched          | 1   
branches          | 19  
brass             | 2   
bray              | 1   
brayin            | 1   
breach            | 2   
bread             | 10  
break             | 7   
breakfast         | 21  
breakfasted       | 1   
breakfasts        | 1   
breaking          | 2   
breaks            | 1   
breast            | 5   
breasted          | 3   
breath            | 24  
breathe           | 9   
breathed          | 3   
breathin          | 1   
breathing         | 8   
breathless        | 5   
breaths           | 10  
bred              | 1   
breeze            | 1   
brick             | 1   
bricks            | 1   
bridge            | 1   
bridges           | 1   
brief             | 3   
bright            | 16  
brightened        | 2   
brighter          | 1   
brilliant         | 6   
brim              | 1   
brims             | 1   
bring             | 21  
bringin           | 1   
bringing          | 2   
brings            | 1   
brisk             | 1   
briskly           | 1   
broad             | 13  
broadly           | 2   
brocade           | 4   
brocaded          | 2   
broke             | 11  
broken            | 8   
bromide           | 1   
brooch            | 1   
